Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Other
1676843888.047375,-319.82421875,-18.06640625,-46.38671875,-174.8046875,-65.4296875
1676843888.0512812,-677.24609375,-12.6953125,-26.3671875,-451.66015625,-906.25
1676843888.0551875,-274.4140625,-46.875,-46.875,-215.33203125,-596.6796875
1676843888.0590937,452.1484375,-70.80078125,-86.9140625,254.8828125,209.47265625
1676843888.062125,633.30078125,-78.125,-83.984375,434.5703125,904.296875
1676843888.0660312,-166.9921875,-44.921875,-42.48046875,-56.15234375,332.51953125
1676843888.0699375,-665.0390625,-27.34375,-15.625,-432.12890625,-743.65234375
1676843888.0738437,-421.875,-45.41015625,-21.97265625,-303.7109375,-994.62890625
1676843888.07775,330.56640625,-89.84375,-53.22265625,172.8515625,-116.69921875
1676843888.0816562,703.125,-86.42578125,-64.453125,457.51953125,898.92578125
1676843888.0855625,-91.796875,-34.1796875,-33.69140625,-20.99609375,507.8125
1676843888.0894687,-679.6875,-19.04296875,-17.578125,-446.2890625,-669.43359375
1676843888.093375,-469.7265625,-38.57421875,-25.87890625,-352.05078125,-1000.0
1676843888.0972812,246.09375,-63.4765625,-47.8515625,99.12109375,-18.06640625
1676843888.1011875,730.46875,-77.63671875,-76.171875,457.03125,-996.58203125
1676843888.1050937,15.625,-44.921875,-71.77734375,33.69140625,500.9765625
1676843888.120125,-651.85546875,-7.8125,-37.59765625,-437.5,-586.42578125
1676843888.1240313,-506.8359375,-9.765625,-31.25,-382.32421875,-828.125
1676843888.1279376,147.94921875,-54.6875,-56.15234375,37.59765625,-269.53125
1676843888.1318438,727.5390625,-94.23828125,-79.1015625,455.078125,712.890625
1676843888.13575,140.625,-46.38671875,-54.6875,102.05078125,667.48046875
1676843888.1396563,-600.5859375,-1.46484375,-20.5078125,-383.30078125,-207.51953125
1676843888.1435626,-537.109375,-23.92578125,-29.78515625,-368.65234375,-882.8125
1676843888.1474688,57.6171875,-63.4765625,-62.5,-13.671875,-625.9765625
1676843888.151375,729.98046875,-80.56640625,-89.35546875,453.125,639.6484375
1676843888.1552813,258.30078125,-46.38671875,-78.125,216.796875,887.20703125
1676843888.1591876,-582.51953125,-18.5546875,-42.48046875,-355.46875,-330.078125
1676843888.1630938,-590.33203125,-20.5078125,-12.20703125,-416.015625,-1000.0
1676843888.166125,-31.73828125,-33.69140625,-31.73828125,-66.89453125,-554.19921875
1676843888.1700313,696.2890625,-73.73046875,-69.3359375,424.8046875,690.4296875
1676843888.1739376,358.88671875,-62.01171875,-63.4765625,253.41796875,887.20703125
1676843888.1778438,-531.73828125,-11.71875,-29.296875,-335.9375,-236.81640625
1676843888.18175,-624.0234375,-18.5546875,-23.92578125,-435.546875,-893.06640625
1676843888.1856563,-114.74609375,-58.10546875,-65.91796875,-130.37109375,-646.484375
1676843888.1895626,632.32421875,-88.8671875,-95.703125,365.72265625,451.66015625
1676843888.1934688,458.49609375,-61.03515625,-65.4296875,316.40625,909.66796875
1676843888.197375,-420.8984375,-11.71875,-29.296875,-242.67578125,140.13671875
1676843888.2012813,-666.9921875,-13.18359375,-19.04296875,-451.171875,-701.171875
1676843888.2051876,-240.234375,-45.8984375,-29.78515625,-212.40234375,-808.59375
1676843888.2090938,563.96484375,-85.44921875,-62.01171875,319.82421875,271.97265625
